"Date","Monthly Oil (m³)","Monthly Gas (e³m³)","Monthly Water (m³)","Water Cut","% of Days Active","GOR","Monthly Total Fluid (m³)","Total NGL","Hours","Source"
"1961-12-01",46064.8,1334.9,167.7,0.004,0,29,46232.5,,0,"Government"
"1962-01-01",479.6,10.5,,,0,21.9,479.6,,0,"Government"
"1962-02-01",271.3,5.9,,,0,21.7,271.3,,0,"Government"
"1962-03-01",330.5,6.8,,,0,20.6,330.5,,0,"Government"
"1962-04-01",234.6,5,,,0,21.3,234.6,,0,"Government"
"1962-05-01",273.6,6.1,,,0,22.3,273.6,,0,"Government"
"1962-06-01",210.2,5.3,,,0,25.2,210.2,,0,"Government"
"1962-07-01",285.9,7.1,,,0,24.8,285.9,,0,"Government"
"1962-08-01",317.8,7.9,,,0,24.9,317.8,,0,"Government"
"1962-09-01",259.7,6.5,,,0,25,259.7,,0,"Government"
"1962-10-01",256.2,6.3,,,0,24.6,256.2,,0,"Government"
"1962-11-01",224.9,5.6,,,0,24.9,224.9,,0,"Government"
"1962-12-01",277.9,6.9,,,0,24.8,277.9,,0,"Government"
"1963-01-01",351.7,8.7,,,0,24.7,351.7,,0,"Government"
"1963-02-01",318.6,7.9,,,0,24.8,318.6,,0,"Government"
"1963-03-01",337.7,8.4,,,0,24.9,337.7,,0,"Government"
"1963-04-01",301.9,7.5,,,0,24.8,301.9,,0,"Government"
"1963-05-01",336.7,8.3,,,0,24.7,336.7,,0,"Government"
"1963-06-01",400.1,9.9,,,0,24.7,400.1,,0,"Government"
"1963-07-01",405.1,10,,,0,24.7,405.1,,0,"Government"
"1963-08-01",364.5,9,,,0,24.7,364.5,,0,"Government"
"1963-09-01",347.9,8.6,,,0,24.7,347.9,,0,"Government"
"1963-10-01",351.4,8.7,,,0,24.8,351.4,,0,"Government"
"1963-11-01",296.5,7.4,,,0,25,296.5,,0,"Government"
"1963-12-01",412.1,10.2,,,0,24.8,412.1,,0,"Government"
"1964-01-01",496.9,12.3,,,0,24.8,496.9,,0,"Government"
"1964-02-01",498,12.4,,,0,24.9,498,,0,"Government"
"1964-03-01",406.2,10.8,,,0,26.6,406.2,,0,"Government"
"1964-04-01",218.5,5.8,,,0,26.5,218.5,,0,"Government"
"1964-05-01",412.7,11,,,0,26.7,412.7,,0,"Government"
"1964-06-01",414.9,11,,,0,26.5,414.9,,0,"Government"
"1964-07-01",318.6,8.5,,,0,26.7,318.6,,0,"Government"
"1964-08-01",320.8,8.5,,,0,26.5,320.8,,0,"Government"
"1964-09-01",328,8.7,,,0,26.5,328,,0,"Government"
"1964-10-01",355.5,9.4,,,0,26.4,355.5,,0,"Government"
"1964-11-01",380.3,10.1,,,0,26.6,380.3,,0,"Government"
"1964-12-01",384.1,10.2,,,0,26.6,384.1,,0,"Government"
"1965-01-01",586.5,15.6,,,0,26.6,586.5,,0,"Government"
"1965-02-01",357.9,9.5,,,0,26.5,357.9,,0,"Government"
"1965-03-01",517.6,13.8,,,0,26.7,517.6,,0,"Government"
"1965-04-01",441.8,11.7,,,0,26.5,441.8,,0,"Government"
"1965-05-01",248.5,6.6,,,0,26.6,248.5,,0,"Government"
"1965-06-01",270.9,7.2,,,0,26.6,270.9,,0,"Government"
"1965-07-01",,,,,0,,,,0,"Government"
"1965-08-01",,,,,0,,,,0,"Government"
"1965-09-01",,,,,0,,,,0,"Government"
